kind	n	seed	k	t	tVariant	L	dijkstraWork	bmsspWork	ratio
sparse	100000	0	4	6	paper	3	2408534	2088174	0.8670
sparse	100000	1	4	6	paper	3	2406881	2016547	0.8378
sparse	100000	2	4	6	paper	3	2416831	2058579	0.8518
sparse	100000	3	4	6	paper	3	2416012	2142720	0.8869
sparse	100000	4	4	6	paper	3	2413981	2044058	0.8468
